Zeit;Einfuhr Wert in Euro;Ausfuhr Wert in Euro;Einfuhr Menge in kg;Ausfuhr Menge in kg
Nov.18;48856607;14249642;8069165;1957824
Dez.18;41050576;11451544;7302727;1580462
Jän.19;40850027;13778407;7854372;2121390
Feb.19;36574688;13091907;6879159;1906724
Mär.19;39753874;13420056;7449191;2061404
Apr.19;42051167;13106671;7850154;1810711
Mai.19;41755089;11988307;7636920;1698810
Jun.19;36033821;11822099;6584161;1580869
Jul.19;41756932;13955880;7785413;1915657
Aug.19;37569644;12934336;6479982;1720642
Sep.19;41527115;13881095;7982174;1781933
Okt.19;45150541;16190741;8630153;2188328
Nov.19;48248252;16228759;8665749;2243844
Dez.19;44186964;12706417;6608461;1623992
Jän.20;38108518;14092058;7806746;1887754
Feb.20;36228368;12072620;6854878;1613056
Mär.20;48497567;17046580;9282749;2377938
Apr.20;37221948;11249486;7153772;1503689
Mai.20;31034057;9486647;5193262;1162084
Jun.20;32669254;10396239;5626622;1410966
Jul.20;41560839;13121286;7322226;1686782
Aug.20;38276590;13112176;6656138;1854058
Sep.20;43651190;14852849;7951030;2123081
Okt.20;41451441;16562438;7185826;2216937
Nov.20;42232899;15552260;7129263;2134911
Dez.20;45775184;12946657;7788838;1599479
Jän.21;32853089;13273803;5935052;1845453
Feb.21;37899788;13892659;6102042;1947588
Mär.21;39440957;16612258;7025383;2268933
Apr.21;44392204;12670661;7886879;1795644
Mai.21;37773444;13158053;6532708;1890993
Jun.21;40849638;14322795;7949893;1914847
Jul.21;42188301;13722238;7327464;1895140
Aug.21;40554143;14578678;7205847;2040068
Sep.21;44702273;14253527;7953655;1892384
Okt.21;43045372;16924724;7709954;2183596
Nov.21;51227700;16966047;8142477;2221182
Dez.21;53539624;14173589;7821274;1785665
Jän.22;38451820;14000804;6120091;1781120
Feb.22;43814631;15940283;6866072;2057963
Mär.22;48614939;19185506;7778227;2496829
Apr.22;49624897;15523683;7251878;1998041
Mai.22;51374821;17979356;7561906;2528847
Jun.22;48747109;17976122;7564297;2237230
Jul.22;47764343;14929834;6738303;1874851
Aug.22;44247914;18556924;6375370;2135281
Sep.22;50385441;19505544;6948494;2366052
Okt.22;53335601;18401829;7452463;2123734
Nov.22;57327466;20273091;8509072;2304685
Dez.22;51672611;17263572;7088290;1887181
Jän.23;47476850;18785323;6524209;2005622
Feb.23;47663573;23575151;7039791;2253244
Mär.23;55176765;21022939;7452059;2217861
Apr.23;46435513;18182598;6500570;2125924
Mai.23;50670166;20499907;7151742;2279733
Jun.23;46803804;17934446;7079515;1996538
Jul.23;51830276;18716456;7279332;2097218
Aug.23;48968122;18324543;6648837;2118247
Sep.23;51131076;19553401;7495345;2292182
Okt.23;58526645;19252242;8487540;2505859
Nov.23;58912578;22530610;7945578;2659457
Dez.23;47321305;15354392;6203216;1621079
Jän.24;49480230;18645017;7433644;2041394
Feb.24;51736623;16609397;7285216;1783822
Mär.24;48243492;16881863;6778245;1876439
Apr.24;51064251;17590537;7483233;1968281
Mai.24;53428339;16982973;7766492;1965765
Jun.24;50186334;16085308;7387269;1817417
Jul.24;56162761;18126384;7976144;2117836
Aug.24;49890316;17439397;7522190;2123680
Sep.24;54705579;17621681;7135346;1931588
Okt.24;63051621;22471849;8103105;2491180
Nov.24;54611279;20094084;6629446;2144809
Dez.24;53762468;16289140;6731884;1604575
Jän.25;58416142;22001076;6870408;2099865
Feb.25;62481524;20649137;7872617;2053620
Mär.25;66469281;20759131;8707915;2092349
Apr.25;62229373;21748705;7237772;2098342
Mai.25;60794016;20478482;6709337;1897283
Jun.25;66174649;19961474;7237690;1868009
Jul.25;65539634;22865544;6930871;2154189
Aug.25;60033946;20415522;6566989;1878698
Sep.25;67001764;29853360;7192971;2610875
