ds,yhat,y,split,model,family
2026-07-01,7133372.920383278,,future,ridge,ml
2026-08-01,7125583.040821076,,future,ridge,ml
2026-09-01,7257595.551987737,,future,ridge,ml
2025-10-01,7210422.5,,future,rnn,neural
2025-11-01,7169695.5,,future,rnn,neural
2025-12-01,6342292.0,,future,rnn,neural
2026-01-01,6639972.5,,future,rnn,neural
2026-02-01,7190900.5,,future,rnn,neural
2026-03-01,7098073.0,,future,rnn,neural
2026-04-01,7022191.0,,future,rnn,neural
2026-05-01,7007550.0,,future,rnn,neural
2026-06-01,7764655.5,,future,rnn,neural
2026-07-01,6889656.0,,future,rnn,neural
2026-08-01,7721577.5,,future,rnn,neural
2026-09-01,7932023.5,,future,rnn,neural
2025-10-01,7181075.267857143,,future,rw_drift,statistical
2025-11-01,7169179.535714285,,future,rw_drift,statistical
2025-12-01,7157283.803571428,,future,rw_drift,statistical
2026-01-01,7145388.071428572,,future,rw_drift,statistical
2026-02-01,7133492.339285715,,future,rw_drift,statistical
2026-03-01,7121596.607142857,,future,rw_drift,statistical
2026-04-01,7109700.875,,future,rw_drift,statistical
2026-05-01,7097805.142857143,,future,rw_drift,statistical
2026-06-01,7085909.410714285,,future,rw_drift,statistical
2026-07-01,7074013.678571428,,future,rw_drift,statistical
2026-08-01,7062117.946428572,,future,rw_drift,statistical
2026-09-01,7050222.214285715,,future,rw_drift,statistical
2025-10-01,8103105.0,,future,seasonal_naive,baseline
2025-11-01,6629446.0,,future,seasonal_naive,baseline
2025-12-01,6731884.0,,future,seasonal_naive,baseline
2026-01-01,6870408.0,,future,seasonal_naive,baseline
2026-02-01,7872617.0,,future,seasonal_naive,baseline
2026-03-01,8707915.0,,future,seasonal_naive,baseline
2026-04-01,7237772.0,,future,seasonal_naive,baseline
2026-05-01,6709337.0,,future,seasonal_naive,baseline
2026-06-01,7237690.0,,future,seasonal_naive,baseline
2026-07-01,6930871.0,,future,seasonal_naive,baseline
2026-08-01,6566989.0,,future,seasonal_naive,baseline
2026-09-01,7192971.0,,future,seasonal_naive,baseline
