ds,yhat,y,split,model,family
2026-07-01,61169482.605283976,,future,ridge,ml
2026-08-01,60139009.89951566,,future,ridge,ml
2026-09-01,62962852.692584164,,future,ridge,ml
2025-10-01,67597296.0,,future,rnn,neural
2025-11-01,65640736.0,,future,rnn,neural
2025-12-01,60100160.0,,future,rnn,neural
2026-01-01,62858188.0,,future,rnn,neural
2026-02-01,66192728.0,,future,rnn,neural
2026-03-01,64143996.0,,future,rnn,neural
2026-04-01,66386892.0,,future,rnn,neural
2026-05-01,69323680.0,,future,rnn,neural
2026-06-01,66840908.0,,future,rnn,neural
2026-07-01,69194368.0,,future,rnn,neural
2026-08-01,73365880.0,,future,rnn,neural
2026-09-01,74892392.0,,future,rnn,neural
2025-10-01,67099339.583301745,,future,rw_drift,statistical
2025-11-01,67196915.16660349,,future,rw_drift,statistical
2025-12-01,67294490.74990524,,future,rw_drift,statistical
2026-01-01,67392066.33320698,,future,rw_drift,statistical
2026-02-01,67489641.91650873,,future,rw_drift,statistical
2026-03-01,67587217.49981047,,future,rw_drift,statistical
2026-04-01,67684793.08311222,,future,rw_drift,statistical
2026-05-01,67782368.66641396,,future,rw_drift,statistical
2026-06-01,67879944.24971572,,future,rw_drift,statistical
2026-07-01,67977519.83301745,,future,rw_drift,statistical
2026-08-01,68075095.4163192,,future,rw_drift,statistical
2026-09-01,68172670.99962094,,future,rw_drift,statistical
2025-10-01,65258427.73499999,,future,seasonal_naive,baseline
2025-11-01,56522673.76499999,,future,seasonal_naive,baseline
2025-12-01,55644154.379999995,,future,seasonal_naive,baseline
2026-01-01,58416142.0,,future,seasonal_naive,baseline
2026-02-01,62481524.0,,future,seasonal_naive,baseline
2026-03-01,66469281.0,,future,seasonal_naive,baseline
2026-04-01,62229373.0,,future,seasonal_naive,baseline
2026-05-01,60794016.0,,future,seasonal_naive,baseline
2026-06-01,66174649.0,,future,seasonal_naive,baseline
2026-07-01,65539634.0,,future,seasonal_naive,baseline
2026-08-01,60033946.0,,future,seasonal_naive,baseline
2026-09-01,67001764.0,,future,seasonal_naive,baseline
