date,feature,label,model,predicted,actual,error,abs_error,pct_error
2025-10-01,import_qty_kg,Import qty (kg),naive,7192971.0,7608375.0,-415404.0,415404.0,-5.459825521218394
2025-10-01,import_qty_kg,Import qty (kg),rw_drift,7181075.267857143,7608375.0,-427299.7321428573,427299.7321428573,-5.61617601843833
2025-10-01,import_qty_kg,Import qty (kg),historic_average,7232583.75,7608375.0,-375791.25,375791.25,-4.939178865395041
2025-10-01,import_value_eur,Import value (EUR),auto_arima,69894542.1001384,73659525.0,-3764982.899861604,3764982.899861604,-5.111332037318465
2025-10-01,import_value_eur,Import value (EUR),gbr,66674417.6570048,73659525.0,-6985107.342995197,6985107.342995197,-9.482965499703122
2025-10-01,import_value_eur,Import value (EUR),ridge,67776567.55008528,73659525.0,-5882957.449914724,5882957.449914724,-7.9866893655840485
2025-10-01,import_value_eur_real_2025,Import value (real 2025 EUR),auto_arima,70232511.61486709,73659525.0,-3427013.385132909,3427013.385132909,-4.652505409358679
2025-10-01,import_value_eur_real_2025,Import value (real 2025 EUR),rf,61960098.85415522,73659525.0,-11699426.14584478,11699426.14584478,-15.883113753237996
2025-10-01,import_value_eur_real_2025,Import value (real 2025 EUR),ridge,66191482.10034803,73659525.0,-7468042.899651967,7468042.899651967,-10.138597689371425
