Model,Split,MAE,RMSE,MAPE,R2,OPE,family
naive,Val,5495278.166666667,6403134.639090633,0.11261346372666965,-1.0666896150656364,-9.831848326059914,baseline
naive,Test,3018332.8333333335,3730751.296301747,0.056708612379697924,-0.00513032394615176,-0.5116186281874863,baseline
historic_average,Val,6577216.333333333,7652794.59064339,0.13392688329142158,-1.9520934594590726,-13.300453214195537,baseline
historic_average,Test,3021538.3333333335,4153334.7452850663,0.055130275904650715,-0.24572921259316516,-3.540807764958674,baseline
seasonal_naive,Val,6223078.916666667,7108442.984038869,0.1296300202289654,-1.547058724940149,-13.300453214195537,baseline
seasonal_naive,Test,3725411.1666666665,4073777.2025350546,0.07235580815063156,-0.19846215738667783,-3.540807764958674,baseline
