Model,Split,MAE,RMSE,MAPE,R2,OPE,family
rw_drift,Val,5040828.85728543,5931758.334495055,0.10350724521120565,-0.7736049319111675,-8.648095011960036,statistical
rw_drift,Test,3226639.281849912,3784700.1393407905,0.061531203102277866,-0.03441004848366824,1.0477764718825606,statistical
arima,Val,6644167.125461005,7699051.637608279,0.13539415488103243,-1.9878889654006486,-13.332148968726637,statistical
arima,Test,3142610.369098535,4306469.2829698175,0.05722308963467282,-0.33928340040457483,-4.0545394081205375,statistical
auto_arima,Val,5515544.4651700305,6765983.545191341,0.11104727388477147,-1.3075539525152413,-11.779593888958493,statistical
auto_arima,Test,2468108.0508210263,3448631.561999836,0.04749897006850698,0.14113802470674075,-0.21926592168431447,statistical
